area,gisjoin1930,gisjoin2010
.00198402,G55007900090,G5500790003800
.086587802,G55007900090,G5500790003600
.000264831,G55007900090,G5500790002400
.369371,G55007900090,G5500790004000
1.42892,G55007900090,G5500790004100
.0017692799,G55007900090,G5500790003900
.0055867601,G55007900090,G5500790004700
.00080799602,G55007900090,G5500790002700
.0057252101,G55007900090,G5500790002600
.00180993,G55007900090,G5500790004200
.72725499,G55007900094,G5500790005400
.43746901,G55007900094,G5500790005500
1.09548,G55007900094,G5500790005600
.0020125101,G55007900094,G5500790005900
.80214602,G55007900094,G5500790005700
1.00368,G55007900094,G5500790005800
.000164243,G55007900094,G5500790005100
.0036362701,G55007900094,G5500790005000
.00030683199,G55007900094,G5500790090200
.000035758902,G55007900094,G5500790090800
.00279373,G55007900094,G5500790091000
.0000369148,G55007900094,G5500790090300
.39379501,G55007900094,G5500790005300
.00046126,G55007900094,G5500790090900
.00026729799,G55007900094,G5500790090700
.00084129698,G55007900106,G5500790100400
.000145888,G55007900106,G5500790100300
.000266975,G55007900106,G5500790100600
.00577902,G55007900106,G5500790091300
1.00187,G55007900106,G5500790012700
.0068440102,G55007900106,G5500790012600
.0129575,G55007900106,G5500790012900
8.9632904e-06,G55007900106,G5500790090600
.000165544,G55007900106,G5500790185300
.89399201,G55007900106,G5500790012800
.57062799,G55007900120,G5500790016100
.00882624,G55007900120,G5500790110100
.0117246,G55007900120,G5500790017100
.00309572,G55007900121,G5500790016100
.0282759,G55007900121,G5500790110100
.0057319999,G55007900121,G5500790017200
.56153101,G55007900121,G5500790017100
.000875775,G55007900137,G5500790020000
.025405301,G55007900137,G5500790019000
.000225854,G55007900137,G5500790017300
.59043401,G55007900137,G5500790018900
5.3339999e-08,G55007900137,G5500790020100
.0075687799,G55007900137,G5500790017200
1.16632,G55007900136,G5500790019000
.00285034,G55007900136,G5500790018900
.459665,G55007900136,G5500790019100
.0083198901,G55007900136,G5500790120300
.0075641801,G55007900151,G5500790020000
.32073101,G55007900151,G5500790020200
.00171774,G55007900151,G5500790021300
.0032396901,G55007900151,G5500790018900
.00131329,G55007900151,G5500790018800
.00065622397,G55007900151,G5500790020300
1.52042,G55007900151,G5500790020100
.67127299,G55007900152,G5500790020000
.0058176001,G55007900152,G5500790019000
.0021478501,G55007900152,G5500790018900
5.8300000e-09,G55007900152,G5500790020100
.0124388,G55007900152,G5500790019100
.0103882,G55007900147,G5500790020600
.0173329,G55007900147,G5500790185200
1.69147,G55007900147,G5500790020700
.0052962699,G55007900147,G5500790020800
.0044341702,G55007900147,G5500790020900
.0028345899,G55007900084,G5500790002400
1.98895,G55007900084,G5500790004300
.0023157301,G55007900084,G5500790004500
.000816738,G55007900084,G5500790004700
